t,price,spread,volume,operation_size,true_effect,return
67,1.0000440326800992,0.0001,47217.756665058354,0.0,0.0,-6.092019771086754e-06
68,1.000055337504942,0.0001,21984.18562683463,0.0,0.0,1.1304824842683914e-05
69,1.0000528168491383,0.0001,16766.046773522346,0.0,0.0,-2.520655803639471e-06
70,1.0000360082059647,0.0001,19097.862848032117,0.0,0.0,-1.6808643173549243e-05
71,1.0000210758358006,0.0001,23711.267558864027,0.0,0.0,-1.4932370164144615e-05
72,1.0000089609882021,0.0001,14875.561009574792,0.0,0.0,-1.211484759844339e-05
73,1.0000155116561789,0.0001,17003.77427704235,0.0,0.0,6.550667976723545e-06
74,1.0000173882800265,0.0001,10703.309870125573,0.0,0.0,1.8766238476519703e-06
75,1.0000264862234007,0.0001,14599.735736868306,0.0,0.0,9.097943374225537e-06
76,1.0000208566754893,0.0001,24767.149803977663,0.0,0.0,-5.6295479113899205e-06
77,1.0000229456193366,0.0001,37088.756057705505,0.0,0.0,2.088943847233793e-06
78,1.0000311884965334,0.0001,34787.591173863046,0.0,0.0,8.24287719680683e-06
79,1.0000271124979843,0.0001,27307.588838478885,0.0,0.0,-4.075998549124549e-06
80,1.0000331310401904,0.0001,10253.382402478976,0.0,0.0,6.018542206165378e-06
81,1.0000244094001232,0.0001,14321.235593005564,0.0,0.0,-8.721640067266279e-06
82,1.0000196257456713,0.0001,19955.870222788257,0.0,0.0,-4.783654451889774e-06
83,1.0000145959072788,0.00030000000000000003,35646.86746116325,0.0,0.0,-5.029838392456298e-06
84,0.9999988393364604,0.0001,16673.449169327072,0.0,0.0,-1.5756570818425963e-05
85,1.0000052557622816,0.0001,11969.560934922545,0.0,0.0,6.416425821220706e-06
86,0.9999990708433898,0.0001,45439.81988664415,0.0,0.0,-6.18491889181616e-06
87,0.9999992354678587,0.0001,15253.030791630108,0.0,0.0,1.646244689457177e-07
88,1.000005569861274,0.0001,12532.30195337136,0.0,0.0,6.334393415241557e-06
89,1.0000114534261177,0.0001,24678.005665817826,0.0,0.0,5.883564843767175e-06
90,1.0000202206447242,0.0001,21481.828686687353,0.0,0.0,8.76721860643137e-06
91,1.0000189229845262,0.0001,17153.14592311222,0.0,0.0,-1.2976601979630686e-06
92,1.000013345539544,0.0001,22030.51789309398,0.0,0.0,-5.577444982307611e-06
93,1.0000122951598878,0.0001,13863.70785772069,0.0,0.0,-1.0503796561422973e-06
94,0.9999900625766138,0.0001,17055.185882989896,0.0,0.0,-2.2232583273940065e-05
95,0.9999709951956001,0.0001,21632.135984880002,0.0,0.0,-1.906738101375982e-05
96,0.9999535670979531,0.00030000000000000003,7959.105616618922,0.0,0.0,-1.7428097646932095e-05
97,0.9999404272172674,0.00030000000000000003,35508.69125080405,0.0,0.0,-1.31398806857419e-05
98,0.9999456947052102,0.0001,11087.214881448712,0.0,0.0,5.267487942828275e-06
99,0.9999337639710913,0.0001,13774.46624092834,0.0,0.0,-1.1930734118870134e-05
100,0.9999287812419391,0.0001,36318.28960189438,0.0,0.0,-4.982729152280818e-06
101,0.9999459000778622,0.0001,29279.87648449874,0.0,0.0,1.711883592314667e-05
102,0.9999412058878755,0.0001,23009.479425039153,0.0,0.0,-4.694189986720332e-06
103,0.9999509235087346,0.0001,9375.963167566792,0.0,0.0,9.717620859106546e-06
104,0.999938622015682,0.0001,16271.324471239997,0.0,0.0,-1.2301493052646606e-05
105,0.9999359151381828,0.0001,19770.01303577924,0.0,0.0,-2.706877499147886e-06
106,0.9999233974985123,0.0001,20501.251621887855,0.0,0.0,-1.2517639670472924e-05
107,0.999918930345504,0.0001,38976.31270179614,0.0,0.0,-4.467153008280711e-06
108,0.9999300023773822,0.0001,59703.54520915911,0.0,0.0,1.107203187811212e-05
109,0.9999072429324396,0.0001,29954.258273101696,0.0,0.0,-2.2759444942566098e-05
110,0.9999129669665355,0.00030000000000000003,16861.770109220604,0.0,0.0,5.724034095933028e-06
111,0.9999160994081367,0.0001,40425.12033643354,0.0,0.0,3.13244160121684e-06
112,0.999908270795088,0.0001,16402.929143435944,0.0,0.0,-7.828613048710409e-06
113,0.999889217309887,0.0001,5932.21470831433,0.0,0.0,-1.9053485201037113e-05
114,0.999890167699599,0.0001,11792.668928631889,0.0,0.0,9.503897120399785e-07
115,0.9998831910205778,0.0001,6728.037898286181,0.0,0.0,-6.9766790212755225e-06
116,0.9998862567988496,0.0001,18180.142553863217,0.0,0.0,3.0657782718046533e-06
117,0.9998865447261479,0.0001,20147.95607072475,0.0,0.0,2.8792729833693187e-07
118,0.9999076500161669,0.0001,9933.462628513276,0.0,0.0,2.1105290018974543e-05
119,0.9999044962288602,0.0001,14370.640237182117,0.0,0.0,-3.153787306642286e-06
120,0.9998910104652929,0.0001,10794.81945027951,0.0,0.0,-1.3485763567300246e-05
121,0.9998933726291906,0.0001,20671.237163244034,0.0,0.0,2.362163897706715e-06
122,0.9998962713400199,0.0001,14375.162633066982,0.0,0.0,2.8987108292577446e-06
123,0.9999141802087914,0.0001,36496.43155262893,0.0,0.0,1.79088687715101e-05
124,0.999925183765611,0.0001,23976.807384920052,0.0,0.0,1.1003556819599858e-05
125,0.9999298859546857,0.0001,49138.2807019093,0.0,0.0,4.702189074667906e-06
126,0.999949166663198,0.0001,17546.635315052266,0.0,0.0,1.928070851231478e-05
127,0.9999335033346567,0.0001,64355.851619531044,0.0,0.0,-1.5663328541304367e-05
128,0.999925073868073,0.0001,22054.236088734415,0.0,0.0,-8.42946658363708e-06
129,0.9999128651580732,0.0001,16911.81127788198,0.0,0.0,-1.2208709999850242e-05
130,0.9999077289629389,0.0001,73450.56874247901,0.0,0.0,-5.136195134314292e-06
131,0.9998895895302328,0.0001,8828.557964653468,0.0,0.0,-1.8139432706121283e-05
132,0.9998979583787742,0.0001,16708.296812011282,0.0,0.0,8.368848541384644e-06
133,0.9998950303376466,0.00030000000000000003,9580.408565250485,0.0,0.0,-2.9280411275589557e-06
134,0.9998756507631152,0.0001,8785.538649373042,0.0,0.0,-1.9379574531352972e-05
135,0.9998622693337792,0.0001,7835.594545078246,0.0,0.0,-1.3381429336045692e-05
136,0.999866400241429,0.0001,29982.782329474918,0.0,0.0,4.130907649835258e-06
137,0.9998774435286042,0.0001,11332.996593065018,0.0,0.0,1.1043287175160899e-05
138,0.9999037527681549,0.0001,19391.92823094419,0.0,0.0,2.6309239550714736e-05
139,0.9999421462772426,0.0001,34405.03056663288,0.0,0.0,3.839350908774186e-05
140,0.9999476066009635,0.0001,27768.917047000414,0.0,0.0,5.460323720840599e-06
141,0.9999345682914182,0.0001,27091.08418405648,0.0,0.0,-1.3038309545243543e-05
142,0.9999064761150682,0.0001,40413.15700416834,0.0,0.0,-2.8092176350025255e-05
143,0.9999100035233046,0.0001,49252.47864826307,0.0,0.0,3.5274082363923043e-06
144,0.9998992920838683,0.0001,11779.692971329257,0.0,0.0,-1.071143943631725e-05
145,0.9998938192714314,0.0001,28046.001930073446,0.0,0.0,-5.472812436901897e-06
146,0.9998857541879583,0.0001,19223.55663508623,0.0,0.0,-8.06508347306334e-06
147,0.9998838991051464,0.0001,20468.90939488355,0.0,0.0,-1.85508281191904e-06
148,0.999897944627938,0.0001,10345.040035814573,0.0,0.0,1.4045522791605869e-05
149,0.9999000139245063,0.0001,16882.381326587805,0.0,0.0,2.06929656831889e-06
150,0.9998979237270009,0.0001,17829.816958194737,0.0,0.0,-2.090197505411062e-06
151,0.9998842777906417,0.0001,45031.92470221973,0.0,0.0,-1.3645936359218958e-05
152,0.9998622119053754,0.0001,12361.576385642833,0.0,0.0,-2.206588526632025e-05
153,0.9998558042360554,0.0001,6682.667600248787,0.0,0.0,-6.407669320029896e-06
154,0.9998550955887263,0.0001,21959.382676031382,0.0,0.0,-7.086473290396356e-07
155,0.9998783901106866,0.0001,11750.102030079579,0.0,0.0,2.329452196025983e-05
156,0.9998801066282238,0.0001,20541.689865794266,0.0,0.0,1.7165175372202413e-06
157,0.9998930553582299,0.00030000000000000003,30649.690836792288,0.0,0.0,1.2948730006123732e-05
158,0.9998864765610754,0.0001,20954.15441133202,0.0,0.0,-6.578797154488392e-06
159,0.9998708635560709,0.0001,17754.202225375724,0.0,0.0,-1.561300500452223e-05
160,0.9998581470261682,0.0001,20367.984278709504,0.0,0.0,-1.2716529902756513e-05
161,0.9998485913337413,0.0001,33647.687633006586,0.0,0.0,-9.55569242688803e-06
162,0.9998766363849296,0.0001,12365.51163155936,0.0,0.0,2.8045051188363423e-05
163,0.9998658136651544,0.0001,31705.357659943387,0.0,0.0,-1.0822719775260836e-05
164,0.9998768617304763,0.0001,13330.094652537398,0.0,0.0,1.1048065321928036e-05
165,0.9998649646202928,0.0001,29763.415500241998,0.0,0.0,-1.1897110183456405e-05
166,0.9998772391724905,0.0001,10182.7963510398,0.0,0.0,1.2274552197655275e-05
167,0.9998823113468254,0.0001,28890.12680191522,0.0,0.0,5.072174334874724e-06
168,0.9998802474613067,0.0001,20932.62603666633,0.0,0.0,-2.0638855187105065e-06
169,0.9998797103678659,0.0001,23115.92683128224,0.0,0.0,-5.370934407222805e-07
170,0.9998710827824434,0.0001,35577.60781579578,0.0,0.0,-8.627585422527062e-06
171,0.9998769602997666,0.0001,14609.873702914918,0.0,0.0,5.877517323171766e-06
172,0.9998709653660348,0.0001,21752.291918267947,0.0,0.0,-5.994933731767738e-06
173,0.9998548165921726,0.0001,25633.37091259892,0.0,0.0,-1.614877386224567e-05
174,0.9998379782861627,0.0001,18967.729306907655,0.0,0.0,-1.6838306009847592e-05
175,0.9998402523316487,0.0001,31520.540330068714,0.0,0.0,2.2740454860281645e-06
176,0.99986105868583,0.0001,25975.538843840473,0.0,0.0,2.080635418122423e-05
177,0.999863166760436,0.0001,16482.190190015233,0.0,0.0,2.108074605988719e-06
178,0.9998616035632347,0.0001,41372.26107331525,0.0,0.0,-1.5631972012375428e-06
179,0.9998653696533012,0.00030000000000000003,29171.51685774824,0.0,0.0,3.76609006647044e-06
180,0.9998825777371843,0.0001,14453.853218697255,0.0,0.0,1.7208083883057945e-05
181,0.9998854683554471,0.00030000000000000003,14381.562324320872,0.0,0.0,2.890618262862965e-06
182,0.9998800539137721,0.0001,19736.868891213453,0.0,0.0,-5.414441675011261e-06
183,0.9998946305474117,0.0001,27549.48463437273,0.0,0.0,1.4576633639573622e-05
184,0.9999002799095242,0.0001,7282.866055252914,0.0,0.0,5.64936211255862e-06
185,0.9999205152714615,0.0001,14761.021835093157,0.0,0.0,2.0235361937293028e-05
186,0.9999229295971591,0.0001,16502.398454482034,0.0,0.0,2.4143256975861505e-06
187,0.9999067958010567,0.0001,10734.014516605634,0.0,0.0,-1.6133796102435483e-05
188,0.9998887687207595,0.0001,13215.113064085039,0.0,0.0,-1.8027080297189357e-05
189,0.9999105216062538,0.0001,23591.709238022002,0.0,0.0,2.175288549433052e-05
190,0.9999332328962639,0.0001,17249.5938343817,0.0,0.0,2.27112900100801e-05
191,0.99993086752294,0.0001,17940.87370516242,0.0,0.0,-2.3653733238759855e-06
192,0.999925818586668,0.0001,11055.464420585857,0.0,0.0,-5.0489362720673725e-06
193,0.9999450748059886,0.0001,19796.128096024317,0.0,0.0,1.9256219320640255e-05
194,0.9999304881983673,0.0001,10383.444343003832,0.0,0.0,-1.4586607621325243e-05
195,0.9999186991347673,0.0001,45684.52206830678,0.0,0.0,-1.1789063599998428e-05
196,0.9999271757095632,0.0001,52662.761850621464,0.0,0.0,8.476574795968084e-06
197,0.999921976330544,0.0001,17385.940675841393,0.0,0.0,-5.199379019216188e-06
198,0.9999219088440244,0.0001,12566.375807347678,0.0,0.0,-6.748651959487262e-08
199,0.9999197552947465,0.0001,33769.09160942283,0.0,0.0,-2.1535492779056753e-06
200,0.9999242032299728,0.0001,29619.31294468187,0.0,0.0,4.447935226248312e-06
201,0.9999427484318358,0.0001,56239.385135923665,0.0,0.0,1.8545201863062744e-05
202,0.9999439419927835,0.0001,64250.11891707191,0.0,0.0,1.1935609476321218e-06
203,0.9999524266313689,0.0001,7995.196600915547,0.0,0.0,8.484638585382065e-06
204,0.9999254132420581,0.0001,39313.75475584871,0.0,0.0,-2.7013389310770464e-05
205,0.9999247713207494,0.0001,19707.331955615144,0.0,0.0,-6.419213086639175e-07
206,0.9999136607863907,0.0001,28985.303062716597,0.0,0.0,-1.1110534358760304e-05
207,0.9998976015142536,0.0001,32497.686115336517,0.0,0.0,-1.6059272137103342e-05
208,0.9998860308408696,0.0001,31823.40591717509,0.0,0.0,-1.1570673383975993e-05
209,0.9998816283779851,0.0001,36322.21536257988,0.0,0.0,-4.40246288446744e-06
210,0.9998936964536042,0.0001,16645.000971475936,0.0,0.0,1.2068075619042773e-05
211,0.9998762196950212,0.0001,13678.21410658803,0.0,0.0,-1.747675858299047e-05
212,0.9998766233003742,0.0001,39873.07503717481,0.0,0.0,4.0360535302763623e-07
213,0.999870243807946,0.0001,14244.640486072896,0.0,0.0,-6.379492428210121e-06
214,0.9998659263358372,0.0001,55865.33575498677,0.0,0.0,-4.3174721088279355e-06
215,0.9998791388302934,0.0001,15030.133286726914,0.0,0.0,1.321249445629391e-05
216,0.999886229123731,0.0001,18207.376044930028,0.0,0.0,7.09029343759493e-06
217,0.9999038508910557,0.0001,20026.163136878804,0.0,0.0,1.7621767324671467e-05
218,0.9999018150999813,0.0001,10193.135820047526,0.0,0.0,-2.035791074384008e-06
219,0.9998926452509245,0.0001,10207.84882415193,0.0,0.0,-9.169849056855917e-06
220,0.9998896956520259,0.0001,34752.86329276882,0.0,0.0,-2.9495988985717148e-06
221,0.9998928908277996,0.0001,9320.584300388558,0.0,0.0,3.1951757737402886e-06
222,0.999895217386078,0.0001,77639.48579771066,0.0,0.0,2.326558278364921e-06
223,0.999880929318679,0.0001,21013.849668604867,0.0,0.0,-1.4288067399004234e-05
224,0.9998821216262411,0.0001,13165.142206119383,0.0,0.0,1.1923075621256274e-06
225,0.9998851287985321,0.0001,27176.532942638034,0.0,0.0,3.007172290958593e-06
226,0.999918299431486,0.0001,6432.034773338133,0.0,0.0,3.3170632953938295e-05
227,0.9999430290305937,0.00030000000000000003,18642.814235175247,0.0,0.0,2.4729599107709e-05
228,0.9999317865623181,0.0001,19877.213800419522,0.0,0.0,-1.1242468275662887e-05
229,0.9999279999540509,0.0001,11694.777112514043,0.0,0.0,-3.786608267164482e-06
230,0.9999087174125952,0.0001,16060.361066613363,0.0,0.0,-1.9282541455667435e-05
231,0.999900934164287,0.00030000000000000003,47240.72209143934,0.0,0.0,-7.783248308190771e-06
232,0.9999050926253382,0.0001,24139.990840368297,0.0,0.0,4.1584610511735676e-06
233,0.9999209811418664,0.0001,26896.02186632518,0.0,0.0,1.5888516528228536e-05
234,0.9999113746188144,0.0001,14862.35747014535,0.0,0.0,-9.60652305204146e-06
235,0.9999027554826732,0.0001,11365.074767839647,0.0,0.0,-8.619136141252426e-06
236,0.9998744624654704,0.0001,19525.36984587182,0.0,0.0,-2.829301720275179e-05
237,0.9998723191537762,0.0001,6445.830807389617,0.0,0.0,-2.143311694235983e-06
238,0.9998583206147742,0.0001,12728.429706028679,0.0,0.0,-1.3998539001969235e-05
239,0.999851344637801,0.0001,11775.18966261466,0.0,0.0,-6.975976973189191e-06
240,0.9998397909825932,0.0001,7947.533220706161,0.0,0.0,-1.1553655207774405e-05
241,0.999838548964387,0.0001,30473.377888976178,0.0,0.0,-1.242018206282225e-06
242,0.9998153888592843,0.0001,20635.06104769,0.0,0.0,-2.3160105102615347e-05
243,0.9997960588409261,0.0001,16157.908812723204,0.0,0.0,-1.9330018358187928e-05
244,0.9998241141349901,0.0001,30807.33737154189,0.0,0.0,2.8055294063911163e-05
245,0.9998071508530403,0.0001,9680.456624904558,0.0,0.0,-1.696328194977781e-05
246,0.9997926994341538,0.0001,11250.980084362944,0.0,0.0,-1.4451418886451961e-05
247,0.9998169028950467,0.0001,38509.597657639315,0.0,0.0,2.4203460892824324e-05
248,0.999855180515924,0.0001,68920.12493289527,0.0,0.0,3.8277620877380514e-05
249,0.9998397437701835,0.0001,31011.496749214726,0.0,0.0,-1.5436745740560198e-05
250,0.9998348916641442,0.0001,27883.37443356593,0.0,0.0,-4.8521060392880955e-06
251,0.9998393920536793,0.0001,16466.293068441602,0.0,0.0,4.500389535144755e-06
252,0.9998621696451048,0.0001,16656.701891559624,0.0,0.0,2.2777591425438004e-05
253,0.9998491666613843,0.0001,24677.190354232687,0.0,0.0,-1.3002983720422634e-05
254,0.9998459348419979,0.0001,43758.84716903617,0.0,0.0,-3.2318193864400158e-06
255,0.9998561771638779,0.0001,27262.612437050215,0.0,0.0,1.024232187996077e-05
256,0.9998619057098973,0.0001,35560.08256288094,0.0,0.0,5.728546019434511e-06
257,0.9998569494184774,0.0001,13931.193642113763,0.0,0.0,-4.956291419944137e-06
258,0.9998551861460978,0.0001,29985.30318075756,0.0,0.0,-1.7632723795513172e-06
259,0.9998370703031817,0.0001,15745.783721985144,0.0,0.0,-1.8115842916111013e-05
260,0.9998339320885574,0.00030000000000000003,23625.35763792124,0.0,0.0,-3.1382146242764364e-06
261,0.9998304221251882,0.0001,29968.749527384567,0.0,0.0,-3.509963369174862e-06
262,0.9998334812320855,0.0001,16888.41998586809,0.0,0.0,3.05910689724076e-06
263,0.9998261641535099,0.0001,13246.135187217596,0.0,0.0,-7.317078575597158e-06
264,0.9998323772190755,0.0001,26404.716602444332,0.0,0.0,6.2130655655856515e-06
265,0.9998457209216037,0.0001,20591.095009238226,0.0,0.0,1.3343702528256784e-05
266,0.9998477688828147,0.0001,23577.90032755278,0.0,0.0,2.0479612109491896e-06
267,0.9998524036804485,0.0001,30594.38890217316,0.0,0.0,4.634797633795706e-06
268,0.9998531040636491,0.0001,42346.583670706386,0.0,0.0,7.003832006580168e-07
269,0.9998531051756258,0.0001,30688.17403968876,0.0,0.0,1.111976621892552e-09
270,0.9998435978137508,0.0001,28737.846407690096,0.0,0.0,-9.507361874994125e-06
271,0.9998477679918061,0.0001,17150.99450981007,0.0,0.0,4.170178055318274e-06
272,0.9998464861283194,0.0001,18519.506728003704,0.0,0.0,-1.281863486690682e-06
273,0.9998740660424124,0.0001,27646.42277232552,0.0,0.0,2.7579914092967783e-05
274,0.999894796813494,0.0001,18368.190286588342,0.0,0.0,2.073077108166732e-05
275,0.9998998807882166,0.0001,27589.206231675435,0.0,0.0,5.08397472254174e-06
276,0.9998898266266847,0.0001,14649.938046654263,0.0,0.0,-1.0054161531880546e-05
277,0.9998751693185731,0.0001,57795.99732535577,0.0,0.0,-1.4657308111565293e-05
278,0.9998908640050341,0.0001,24266.184091738654,0.0,0.0,1.5694686461009688e-05
279,0.9998943260300546,0.0001,23482.308751628345,0.0,0.0,3.462025020439796e-06
280,0.9999006524748805,0.0001,17304.07469023209,0.0,0.0,6.32644482589928e-06
281,0.9998776655361602,0.0001,57326.0469814941,0.0,0.0,-2.29869387202708e-05
282,0.9998898856111245,0.0001,11770.537411398678,0.0,0.0,1.222007496426425e-05
283,0.9998958731248072,0.0001,15498.392346949318,0.0,0.0,5.98751368274808e-06
284,0.9998812419158635,0.0001,33752.03042934476,0.0,0.0,-1.4631208943738372e-05
285,0.9998750290310101,0.0001,24830.505170695207,0.0,0.0,-6.212884853362688e-06
286,0.9998785038102765,0.0001,16508.258833424406,0.0,0.0,3.4747792664324706e-06
287,0.9998791951210446,0.0001,16746.69487751358,0.0,0.0,6.913107680750485e-07
288,0.9998753454276538,0.0001,19044.89860499172,0.0,0.0,-3.849693390844955e-06
289,0.9998739818499947,0.0001,23180.572893590106,0.0,0.0,-1.3635776591192084e-06
290,0.9998706617565197,0.0001,47897.352750726284,0.0,0.0,-3.320093474923347e-06
291,0.9998726719441189,0.0001,29809.455545088967,0.0,0.0,2.0101875991551665e-06
292,0.9998920605532577,0.0001,36741.6990879893,0.0,0.0,1.9388609138859536e-05
293,0.9998582418588867,0.0001,17727.33170439635,0.0,0.0,-3.3818694371023916e-05
294,0.9998551210826356,0.0001,28505.85548357384,0.0,0.0,-3.1207762510865322e-06
295,0.9998574468379975,0.0001,10123.406287786192,0.0,0.0,2.325755361853865e-06
296,0.9998613469012522,0.0001,24126.56041593047,0.0,0.0,3.900063254680397e-06
297,0.9998564464963688,0.0001,23364.66678028302,0.0,0.0,-4.900404883323439e-06
298,0.9998332996545027,0.0001,54759.623030493574,0.0,0.0,-2.314684186610627e-05
299,0.9998376213744643,0.0001,47992.13979223448,0.0,0.0,4.321719961564163e-06
300,0.9998603812119374,0.0001,19356.432078494916,0.0,0.0,2.2759837473129707e-05
301,0.9998401708133767,0.0001,14638.786109544588,0.0,0.0,-2.0210398560704945e-05
302,0.9998515527468349,0.0001,14841.076324353298,0.0,0.0,1.1381933458176619e-05
303,0.9998472240469437,0.0001,19009.182904873152,0.0,0.0,-4.32869989119844e-06
304,0.9998464160277402,0.0001,42229.338948245466,0.0,0.0,-8.080192035464506e-07
305,0.9998325428717451,0.0001,27104.464665533116,0.0,0.0,-1.3873155995103303e-05
306,0.9998281360247362,0.0001,28538.35481358014,0.0,0.0,-4.40684700886429e-06
307,0.9998452656163155,0.0001,33044.26890147181,0.0,0.0,1.712959157929017e-05
308,0.9998529427732126,0.0001,13398.813034855566,0.0,0.0,7.677156897090143e-06
309,0.9998757679827552,0.0001,15451.64008855924,0.0,0.0,2.2825209542665092e-05
310,0.9998912817465608,0.0001,28570.112975724645,0.0,0.0,1.551376380559688e-05
311,0.9998970672215427,0.0001,14921.210634366342,0.0,0.0,5.785474981867544e-06
312,0.9999200455765132,0.0001,10268.086875122244,0.0,0.0,2.2978354970448756e-05
313,0.9999258298192584,0.0001,12819.322283863356,0.0,0.0,5.784242745221491e-06
314,0.9999367395214015,0.0001,37316.11636128756,0.0,0.0,1.0909702143124811e-05
315,0.9999328318559806,0.0001,18268.97441449804,0.0,0.0,-3.907665420910256e-06
